user_id,game_id,difficulty_level,score,accuracy,completion_time,mistakes,attempts,completed,timestamp,cognitive_area,mistake_rate,performance_score,recommended_difficulty
U001,routine_order,easy,90,90.44,28,1,9,True,2026-06-19 00:16:19.175681,sequencing,0.111,89.96,medium
U001,routine_order,hard,70,71.79,82,3,12,True,2026-07-19 21:16:19.176594,sequencing,0.25,71.72,hard
U001,pattern_recall,medium,90,91.62,68,1,13,True,2026-07-13 13:16:19.177003,attention,0.077,91.11,hard
U001,routine_order,medium,80,79.22,41,2,11,False,2026-09-07 18:16:19.177360,sequencing,0.182,80.05,hard
U001,routine_order,hard,70,63.0,81,3,9,True,2026-07-12 16:16:19.177868,sequencing,0.333,66.54,hard
U001,memory_match,hard,84,65.14,56,2,6,True,2026-09-08 17:16:19.178326,memory,0.333,73.0,hard
U001,pattern_recall,medium,80,72.39,51,2,6,True,2026-08-07 13:16:19.178563,attention,0.333,74.3,medium
U001,pattern_recall,medium,60,67.93,64,4,11,True,2026-07-10 15:16:19.178676,attention,0.364,63.89,medium
U001,memory_match,easy,92,92.74,29,1,14,False,2026-07-12 10:16:19.178765,memory,0.071,92.48,medium
U001,memory_match,easy,92,90.82,46,1,7,True,2026-09-05 13:16:19.178849,memory,0.143,90.27,medium
U001,routine_order,medium,60,61.92,63,4,11,True,2026-06-14 18:16:19.178930,sequencing,0.364,61.49,medium
U001,routine_order,medium,80,76.28,62,2,9,False,2026-09-07 22:16:19.179017,sequencing,0.222,78.07,medium
U001,memory_match,medium,60,69.2,40,5,15,True,2026-08-26 13:16:19.179097,memory,0.333,65.02,medium
U001,memory_match,hard,84,69.87,66,2,8,True,2026-09-06 18:16:19.179175,memory,0.25,76.55,hard
U001,routine_order,hard,90,83.78,64,1,8,True,2026-07-01 04:16:19.179255,sequencing,0.125,87.01,hard
U001,pattern_recall,medium,70,62.33,61,3,9,True,2026-08-13 11:16:19.179351,attention,0.333,66.27,medium
U001,pattern_recall,medium,90,90.72,52,1,13,True,2026-09-09 03:16:19.179428,attention,0.077,90.75,hard
U001,memory_match,easy,68,76.3,29,4,15,True,2026-08-04 22:16:19.179505,memory,0.267,72.38,easy
U001,routine_order,medium,80,81.53,48,2,10,True,2026-06-14 14:16:19.179580,sequencing,0.2,80.61,hard
U001,memory_match,medium,92,76.81,30,1,5,True,2026-07-16 06:16:19.179658,memory,0.2,83.52,hard
U001,routine_order,easy,80,84.36,39,2,11,True,2026-09-09 04:16:19.179734,sequencing,0.182,82.1,medium
U001,pattern_recall,medium,50,52.01,68,5,10,True,2026-07-04 00:16:19.179815,attention,0.5,50.8,easy
U001,routine_order,hard,80,76.28,63,2,9,True,2026-07-02 01:16:19.179930,sequencing,0.222,78.07,hard
U001,routine_order,hard,70,59.09,63,3,7,True,2026-07-13 19:16:19.180014,sequencing,0.429,63.06,hard
U001,routine_order,medium,60,61.49,51,4,11,True,2026-08-08 15:16:19.180090,sequencing,0.364,61.32,medium
U001,routine_order,medium,80,81.82,61,2,13,True,2026-08-18 13:16:19.180165,sequencing,0.154,81.65,hard
U001,routine_order,hard,70,79.44,76,3,13,True,2026-09-08 22:16:19.180250,sequencing,0.231,75.16,hard
U001,pattern_recall,easy,80,87.6,44,2,13,True,2026-08-22 07:16:19.180327,attention,0.154,83.96,medium
U001,routine_order,medium,70,83.18,65,3,15,True,2026-08-05 17:16:19.180406,sequencing,0.2,77.27,medium
U001,pattern_recall,hard,70,74.67,68,3,13,True,2026-06-20 21:16:19.180483,attention,0.231,73.25,hard
U002,pattern_recall,hard,80,57.09,78,2,5,True,2026-08-27 02:16:19.180570,attention,0.4,66.84,hard
U002,routine_order,hard,70,77.22,93,3,15,True,2026-08-19 09:16:19.180649,sequencing,0.2,74.89,hard
U002,pattern_recall,medium,70,76.89,55,3,12,True,2026-08-20 22:16:19.180722,attention,0.25,73.76,medium
U002,routine_order,easy,90,91.26,25,1,7,True,2026-07-08 06:16:19.180797,sequencing,0.143,89.64,medium
U002,memory_match,medium,84,75.76,59,2,9,True,2026-07-12 22:16:19.180872,memory,0.222,79.46,medium
U002,routine_order,easy,100,95.46,31,0,7,True,2026-08-16 13:16:19.181546,sequencing,0.0,98.18,medium
U002,routine_order,medium,80,83.3,71,2,12,True,2026-07-25 01:16:19.181692,sequencing,0.167,81.98,hard
U002,routine_order,medium,60,68.45,38,4,14,True,2026-08-08 14:16:19.181784,sequencing,0.286,65.66,medium
U002,routine_order,medium,60,63.22,39,4,11,True,2026-07-21 23:16:19.181876,sequencing,0.364,62.01,medium
U002,memory_match,medium,84,71.44,48,2,7,True,2026-07-06 00:16:19.181977,memory,0.286,76.46,medium
U002,routine_order,medium,70,67.87,45,3,10,True,2026-06-16 06:16:19.182095,sequencing,0.3,69.15,medium
U002,pattern_recall,medium,80,80.54,27,2,9,True,2026-07-19 11:16:19.182181,attention,0.222,79.78,medium
U002,memory_match,hard,92,92.89,92,1,11,True,2026-08-25 10:16:19.182262,memory,0.091,92.14,hard
U002,pattern_recall,medium,90,87.48,42,1,7,True,2026-07-17 18:16:19.182340,attention,0.143,88.13,hard
U002,pattern_recall,easy,90,83.64,25,1,9,True,2026-09-09 08:16:19.182418,attention,0.111,87.24,medium
U002,pattern_recall,medium,80,78.84,57,2,11,True,2026-07-03 01:16:19.182497,attention,0.182,79.9,medium
U002,memory_match,hard,84,69.87,63,2,7,True,2026-07-15 09:16:19.182577,memory,0.286,75.83,hard
U002,memory_match,hard,60,66.63,92,5,14,True,2026-06-17 16:16:19.182653,memory,0.357,63.51,hard
U002,memory_match,medium,52,57.05,34,6,14,True,2026-08-07 03:16:19.182731,memory,0.429,55.04,easy
U002,routine_order,medium,90,77.59,78,1,5,True,2026-09-06 07:16:19.182812,sequencing,0.2,83.04,hard
U002,routine_order,medium,70,77.7,45,3,15,True,2026-08-29 05:16:19.182888,sequencing,0.2,75.08,medium
U002,routine_order,easy,100,100.0,12,0,9,True,2026-07-07 22:16:19.182967,sequencing,0.0,100.0,medium
U002,pattern_recall,hard,90,71.81,63,1,5,True,2026-08-15 13:16:19.183045,attention,0.2,80.72,hard
U002,pattern_recall,medium,80,71.11,60,2,8,True,2026-06-26 23:16:19.183124,attention,0.25,75.44,medium
U002,memory_match,easy,92,85.51,41,1,9,True,2026-07-08 20:16:19.183200,memory,0.111,88.78,medium
U002,memory_match,hard,60,51.12,55,5,11,True,2026-08-18 18:16:19.183275,memory,0.455,55.35,medium
U002,memory_match,hard,76,77.25,80,3,13,True,2026-07-10 03:16:19.183354,memory,0.231,76.68,hard
U002,memory_match,medium,84,71.1,46,2,8,True,2026-08-22 11:16:19.183435,memory,0.25,77.04,medium
U002,memory_match,hard,84,70.04,73,2,8,True,2026-08-25 02:16:19.183514,memory,0.25,76.62,hard
U002,memory_match,hard,84,80.24,96,2,9,True,2026-08-18 07:16:19.183591,memory,0.222,81.26,hard
U003,memory_match,hard,76,68.88,59,3,11,False,2026-09-05 20:16:19.183676,memory,0.273,72.49,hard
U003,routine_order,easy,70,76.75,31,3,13,True,2026-08-24 17:16:19.183752,sequencing,0.231,74.08,easy
U003,routine_order,medium,80,72.67,52,2,6,True,2026-07-06 18:16:19.183829,sequencing,0.333,74.41,medium
U003,memory_match,easy,92,89.46,17,1,5,True,2026-08-24 16:16:19.183931,memory,0.2,88.58,medium
U003,memory_match,easy,84,78.36,51,2,7,True,2026-07-18 16:16:19.184019,memory,0.286,79.22,easy
U003,routine_order,medium,60,73.98,50,4,14,True,2026-06-30 14:16:19.184103,sequencing,0.286,67.87,medium
U003,routine_order,easy,70,73.96,44,3,13,True,2026-08-15 23:16:19.184186,sequencing,0.231,72.96,easy
U003,memory_match,medium,92,90.59,47,1,9,True,2026-06-17 12:16:19.184279,memory,0.111,90.82,hard
U003,memory_match,hard,60,64.28,73,5,13,True,2026-08-26 22:16:19.184370,memory,0.385,62.01,hard
U003,memory_match,medium,84,85.72,52,2,13,True,2026-06-28 07:16:19.184456,memory,0.154,84.81,hard
U003,pattern_recall,easy,70,76.6,28,3,14,True,2026-07-12 05:16:19.184534,attention,0.214,74.36,easy
U003,memory_match,easy,92,81.77,15,1,5,True,2026-06-18 10:16:19.184610,memory,0.2,85.51,medium
U003,memory_match,easy,76,71.8,57,3,12,True,2026-09-05 00:16:19.184693,memory,0.25,74.12,easy
U003,memory_match,medium,76,79.95,37,3,13,False,2026-08-14 06:16:19.184771,memory,0.231,77.76,medium
U003,memory_match,easy,84,60.48,24,2,5,True,2026-07-17 17:16:19.184852,memory,0.4,69.79,easy
U003,memory_match,easy,100,100.0,39,0,9,True,2026-06-19 06:16:19.184927,memory,0.0,100.0,medium
U003,memory_match,medium,84,70.43,41,2,8,True,2026-08-09 21:16:19.185007,memory,0.25,76.77,medium
U003,routine_order,hard,70,71.42,95,3,10,True,2026-07-22 11:16:19.185088,sequencing,0.3,70.57,hard
U003,memory_match,medium,84,81.14,66,2,11,True,2026-06-17 09:16:19.185166,memory,0.182,82.42,hard
U003,pattern_recall,hard,80,64.66,66,2,6,True,2026-06-20 08:16:19.185242,attention,0.333,71.2,hard
U003,routine_order,hard,70,66.31,79,3,10,True,2026-06-23 00:16:19.185316,sequencing,0.3,68.52,hard
U003,pattern_recall,hard,70,78.69,78,3,14,True,2026-06-28 06:16:19.185392,attention,0.214,75.2,hard
U003,memory_match,medium,52,61.77,64,6,15,True,2026-06-27 04:16:19.185466,memory,0.4,57.51,easy
U003,routine_order,easy,100,100.0,22,0,15,True,2026-09-02 19:16:19.185539,sequencing,0.0,100.0,medium
U003,memory_match,hard,84,69.44,83,2,6,True,2026-07-21 04:16:19.185612,memory,0.333,74.72,hard
U003,memory_match,easy,76,72.2,19,3,10,True,2026-09-09 18:16:19.185685,memory,0.3,73.28,easy
U003,memory_match,medium,60,64.82,36,5,14,True,2026-06-16 08:16:19.185766,memory,0.357,62.79,medium
U003,pattern_recall,hard,90,77.51,63,1,5,True,2026-07-20 08:16:19.185854,attention,0.2,83.0,hard
U003,routine_order,hard,70,68.65,71,3,11,True,2026-09-08 10:16:19.185975,sequencing,0.273,70.0,hard
