user_id,game_id,difficulty_level,score,accuracy,completion_time,mistakes,attempts,completed,mistake_rate,time_efficiency,performance_score,recommended_difficulty
U001,routine_order,easy,90,90.44,28,1,9,True,0.1111111111111111,73.07692307692308,87.45,medium
U001,routine_order,hard,70,71.79,82,3,12,True,0.25,21.153846153846157,64.05,hard
U001,pattern_recall,medium,90,91.62,68,1,13,True,0.07692307692307693,35.238095238095234,82.7,hard
U001,routine_order,medium,80,79.22,41,2,11,False,0.18181818181818182,60.57692307692308,77.09,hard
U001,routine_order,hard,70,63.0,81,3,9,True,0.3333333333333333,22.115384615384613,59.87,hard
U001,memory_match,hard,84,65.14,56,2,6,True,0.3333333333333333,43.99999999999999,68.8,hard
U001,pattern_recall,medium,80,72.39,51,2,6,True,0.3333333333333333,51.42857142857142,71.05,medium
U001,pattern_recall,medium,60,67.93,64,4,11,True,0.36363636363636365,39.047619047619044,60.18,medium
U001,memory_match,easy,92,92.74,29,1,14,False,0.07142857142857142,71.0,89.24,medium
U001,memory_match,easy,92,90.82,46,1,7,True,0.14285714285714285,54.0,84.94,medium
U001,routine_order,medium,60,61.92,63,4,11,True,0.36363636363636365,39.42307692307693,58.13,medium
U001,routine_order,medium,80,76.28,62,2,9,False,0.2222222222222222,40.38461538461539,72.42,medium
U001,memory_match,medium,60,69.2,40,5,15,True,0.3333333333333333,60.0,64.22,medium
U001,memory_match,hard,84,69.87,66,2,8,True,0.25,34.0,70.2,hard
U001,routine_order,hard,90,83.78,64,1,8,True,0.125,38.46153846153846,79.72,hard
U001,pattern_recall,medium,70,62.33,61,3,9,True,0.3333333333333333,41.9047619047619,62.6,medium
U001,pattern_recall,medium,90,90.72,52,1,13,True,0.07692307692307693,50.476190476190474,84.67,hard
U001,memory_match,easy,68,76.3,29,4,15,True,0.26666666666666666,71.0,72.16,easy
U001,routine_order,medium,80,81.53,48,2,10,True,0.2,53.84615384615385,76.61,hard
U001,memory_match,medium,92,76.81,30,1,5,True,0.2,70.0,81.58,hard
U001,routine_order,easy,80,84.36,39,2,11,True,0.18181818181818182,62.5,79.17,medium
U001,pattern_recall,medium,50,52.01,68,5,10,True,0.5,35.238095238095234,48.49,easy
U001,routine_order,hard,80,76.28,63,2,9,True,0.2222222222222222,39.42307692307693,72.28,hard
U001,routine_order,hard,70,59.09,63,3,7,True,0.42857142857142855,39.42307692307693,59.67,hard
U001,routine_order,medium,60,61.49,51,4,11,True,0.36363636363636365,50.96153846153846,59.71,medium
U001,routine_order,medium,80,81.82,61,2,13,True,0.15384615384615385,41.34615384615385,75.53,hard
U001,routine_order,hard,70,79.44,76,3,13,True,0.23076923076923078,26.923076923076927,67.88,hard
U001,pattern_recall,easy,80,87.6,44,2,13,True,0.15384615384615385,58.09523809523809,80.07,medium
U001,routine_order,medium,70,83.18,65,3,15,True,0.2,37.5,71.24,medium
U001,pattern_recall,hard,70,74.67,68,3,13,True,0.23076923076923078,35.238095238095234,67.46,hard
U002,pattern_recall,hard,80,57.09,78,2,5,True,0.4,25.71428571428571,60.84,hard
U002,routine_order,hard,70,77.22,93,3,15,True,0.2,10.576923076923073,65.11,hard
U002,pattern_recall,medium,70,76.89,55,3,12,True,0.25,47.61904761904761,69.8,medium
U002,routine_order,easy,90,91.26,25,1,7,True,0.14285714285714285,75.96153846153845,87.69,medium
U002,memory_match,medium,84,75.76,59,2,9,True,0.2222222222222222,41.0,73.73,medium
U002,routine_order,easy,100,95.46,31,0,7,True,0.0,70.1923076923077,93.94,medium
U002,routine_order,medium,80,83.3,71,2,12,True,0.16666666666666666,31.73076923076923,74.41,hard
U002,routine_order,medium,60,68.45,38,4,14,True,0.2857142857142857,63.46153846153846,65.19,medium
U002,routine_order,medium,60,63.22,39,4,11,True,0.36363636363636365,62.5,62.05,medium
U002,memory_match,medium,84,71.44,48,2,7,True,0.2857142857142857,52.0,72.92,medium
U002,routine_order,medium,70,67.87,45,3,10,True,0.3,56.730769230769226,67.26,medium
U002,pattern_recall,medium,80,80.54,27,2,9,True,0.2222222222222222,74.28571428571429,79.0,medium
U002,memory_match,hard,92,92.89,92,1,11,True,0.09090909090909091,7.9999999999999964,79.55,hard
U002,pattern_recall,medium,90,87.48,42,1,7,True,0.14285714285714285,60.0,83.98,hard
U002,pattern_recall,easy,90,83.64,25,1,9,True,0.1111111111111111,76.19047619047619,85.54,medium
U002,pattern_recall,medium,80,78.84,57,2,11,True,0.18181818181818182,45.714285714285715,74.72,medium
U002,memory_match,hard,84,69.87,63,2,7,True,0.2857142857142857,37.0,70.12,hard
U002,memory_match,hard,60,66.63,92,5,14,True,0.35714285714285715,7.9999999999999964,55.16,hard
U002,memory_match,medium,52,57.05,34,6,14,True,0.42857142857142855,65.99999999999999,56.64,easy
U002,routine_order,medium,90,77.59,78,1,5,True,0.2,25.0,74.41,hard
U002,routine_order,medium,70,77.7,45,3,15,True,0.2,56.730769230769226,72.2,medium
U002,routine_order,easy,100,100.0,12,0,9,True,0.0,88.46153846153845,98.27,medium
U002,pattern_recall,hard,90,71.81,63,1,5,True,0.2,40.0,74.63,hard
U002,pattern_recall,medium,80,71.11,60,2,8,True,0.25,42.85714285714286,70.57,medium
U002,memory_match,easy,92,85.51,41,1,9,True,0.1111111111111111,59.00000000000001,84.31,medium
U002,memory_match,hard,60,51.12,55,5,11,True,0.45454545454545453,44.99999999999999,53.82,medium
U002,memory_match,hard,76,77.25,80,3,13,True,0.23076923076923078,19.999999999999996,68.18,hard
U002,memory_match,medium,84,71.1,46,2,8,True,0.25,54.0,73.63,medium
U002,memory_match,hard,84,70.04,73,2,8,True,0.25,27.0,69.21,hard
U002,memory_match,hard,84,80.24,96,2,9,True,0.2222222222222222,4.0000000000000036,69.75,hard
U003,memory_match,hard,76,68.88,59,3,11,False,0.2727272727272727,41.0,67.77,hard
U003,routine_order,easy,70,76.75,31,3,13,True,0.23076923076923078,70.1923076923077,73.43,easy
U003,routine_order,medium,80,72.67,52,2,6,True,0.3333333333333333,50.0,70.93,medium
U003,memory_match,easy,92,89.46,17,1,5,True,0.2,83.0,87.96,medium
U003,memory_match,easy,84,78.36,51,2,7,True,0.2857142857142857,49.0,74.89,easy
U003,routine_order,medium,60,73.98,50,4,14,True,0.2857142857142857,51.92307692307692,65.4,medium
U003,routine_order,easy,70,73.96,44,3,13,True,0.23076923076923078,57.692307692307686,70.58,easy
U003,memory_match,medium,92,90.59,47,1,9,True,0.1111111111111111,53.0,85.19,hard
U003,memory_match,hard,60,64.28,73,5,13,True,0.38461538461538464,27.0,56.78,hard
U003,memory_match,medium,84,85.72,52,2,13,True,0.15384615384615385,48.0,79.29,hard
U003,pattern_recall,easy,70,76.6,28,3,14,True,0.21428571428571427,73.33333333333334,74.1,easy
U003,memory_match,easy,92,81.77,15,1,5,True,0.2,85.0,85.57,medium
U003,memory_match,easy,76,71.8,57,3,12,True,0.25,43.00000000000001,69.43,easy
U003,memory_match,medium,76,79.95,37,3,13,False,0.23076923076923078,63.0,75.57,medium
U003,memory_match,easy,84,60.48,24,2,5,True,0.4,76.0,70.97,easy
U003,memory_match,easy,100,100.0,39,0,9,True,0.0,61.0,94.15,medium
U003,memory_match,medium,84,70.43,41,2,8,True,0.25,59.00000000000001,74.15,medium
U003,routine_order,hard,70,71.42,95,3,10,True,0.3,8.653846153846157,61.3,hard
U003,memory_match,medium,84,81.14,66,2,11,True,0.18181818181818182,34.0,75.17,hard
U003,pattern_recall,hard,80,64.66,66,2,6,True,0.3333333333333333,37.142857142857146,66.2,hard
